id,2015,2016,2017,2019
AUT,64.00,65.46,67.45,65.55
BIH,0.00,0.00,0.00,24.15
BEL,60.29,60.90,60.56,60.83
BGR,31.22,26.25,29.49,29.40
CYP,42.55,42.92,50.38,45.03
CZE,56.89,53.80,59.85,62.10
DEU,66.71,67.54,68.18,70.16
DNK,74.91,77.57,71.19,69.98
EST,64.51,60.32,60.31,61.58
GRC,44.01,45.85,46.16,50.52
ESP,53.90,53.35,54.77,57.20
FIN,73.97,73.05,75.55,76.47
FRA,56.78,55.65,57.13,57.30
HRV,50.91,54.61,40.92,53.35
HUN,49.52,51.36,49.59,48.68
IRL,44.38,44.19,47.64,53.38
ISL,0.00,0.00,85.40,85.37
ITA,43.30,43.65,0.00,41.51
LTU,51.24,51.59,54.78,56.15
LUX,86.21,86.15,85.18,64.58
LVA,49.20,50.36,48.07,42.96
MKD,37.08,33.90,32.49,31.55
MLT,52.68,49.61,56.59,55.82
NLD,72.43,76.51,79.49,79.37
NOR,79.86,74.76,77.02,82.55
POL,40.04,44.42,46.38,44.45
PRT,47.63,47.65,50.26,51.76
ROU,26.28,27.65,29.05,30.97
SRB,31.89,0.00,38.87,45.72
SWE,71.58,68.64,77.20,72.42
SVN,50.90,52.91,54.00,55.13
SVK,53.15,55.26,59.01,53.87
GBR,67.27,68.75,70.55,73.89
CHE,0.00,0.00,75.50,76.80
MNE,0.00,0.00,49.60,0.00
ALB,0.00,0.00,0.00,21.48
TUR,23.31,28.39,34.11,35.81
KOS,0.00,0.00,21.06,27.57
